site_no,site_name,date,parameter,statistic,value
11159000,Pajaro River at Chittenden,2023-01-14,discharge_cfs,mean,3140.0
11159000,Pajaro River at Chittenden,2023-01-15,discharge_cfs,mean,5760.0
11159000,Pajaro River at Chittenden,2023-01-16,discharge_cfs,mean,7070.0
11159000,Pajaro River at Chittenden,2023-01-17,discharge_cfs,mean,8350.0
11159000,Pajaro River at Chittenden,2023-01-18,discharge_cfs,mean,6200.0
11159000,Pajaro River at Chittenden,2023-01-19,discharge_cfs,mean,3590.0
11159000,Pajaro River at Chittenden,2023-01-20,discharge_cfs,mean,2230.0
11159000,Pajaro River at Chittenden,2023-01-21,discharge_cfs,mean,1620.0
11159000,Pajaro River at Chittenden,2023-01-22,discharge_cfs,mean,1280.0
11159000,Pajaro River at Chittenden,2023-01-23,discharge_cfs,mean,1040.0
11159000,Pajaro River at Chittenden,2023-01-24,discharge_cfs,mean,860.0
11159000,Pajaro River at Chittenden,2023-01-25,discharge_cfs,mean,723.0
11159000,Pajaro River at Chittenden,2023-01-26,discharge_cfs,mean,618.0
11159000,Pajaro River at Chittenden,2023-01-27,discharge_cfs,mean,542.0
11159000,Pajaro River at Chittenden,2023-01-28,discharge_cfs,mean,473.0
11159000,Pajaro River at Chittenden,2023-01-29,discharge_cfs,mean,417.0
11159000,Pajaro River at Chittenden,2023-01-30,discharge_cfs,mean,379.0
11159000,Pajaro River at Chittenden,2023-01-31,discharge_cfs,mean,335.0
11159000,Pajaro River at Chittenden,2023-02-01,discharge_cfs,mean,301.0
11159000,Pajaro River at Chittenden,2023-02-02,discharge_cfs,mean,277.0
11159000,Pajaro River at Chittenden,2023-02-03,discharge_cfs,mean,256.0
11159000,Pajaro River at Chittenden,2023-02-04,discharge_cfs,mean,245.0
11159000,Pajaro River at Chittenden,2023-02-05,discharge_cfs,mean,347.0
11159000,Pajaro River at Chittenden,2023-02-06,discharge_cfs,mean,404.0
11159000,Pajaro River at Chittenden,2023-02-07,discharge_cfs,mean,384.0
11159000,Pajaro River at Chittenden,2023-02-08,discharge_cfs,mean,340.0
11159000,Pajaro River at Chittenden,2023-02-09,discharge_cfs,mean,299.0
11159000,Pajaro River at Chittenden,2023-02-10,discharge_cfs,mean,262.0
11159000,Pajaro River at Chittenden,2023-02-11,discharge_cfs,mean,244.0
11159000,Pajaro River at Chittenden,2023-02-12,discharge_cfs,mean,227.0
11159000,Pajaro River at Chittenden,2023-02-13,discharge_cfs,mean,213.0
11159000,Pajaro River at Chittenden,2023-02-14,discharge_cfs,mean,199.0
11159000,Pajaro River at Chittenden,2023-02-15,discharge_cfs,mean,189.0
11159000,Pajaro River at Chittenden,2023-02-16,discharge_cfs,mean,175.0
11159000,Pajaro River at Chittenden,2023-02-17,discharge_cfs,mean,169.0
11159000,Pajaro River at Chittenden,2023-02-18,discharge_cfs,mean,163.0
11159000,Pajaro River at Chittenden,2023-02-19,discharge_cfs,mean,157.0
11159000,Pajaro River at Chittenden,2023-02-20,discharge_cfs,mean,151.0
11159000,Pajaro River at Chittenden,2023-02-21,discharge_cfs,mean,148.0
11159000,Pajaro River at Chittenden,2023-02-22,discharge_cfs,mean,144.0
11159000,Pajaro River at Chittenden,2023-02-23,discharge_cfs,mean,142.0
11159000,Pajaro River at Chittenden,2023-02-24,discharge_cfs,mean,203.0
11159000,Pajaro River at Chittenden,2023-02-25,discharge_cfs,mean,372.0
11159000,Pajaro River at Chittenden,2023-02-26,discharge_cfs,mean,360.0
11159000,Pajaro River at Chittenden,2023-02-27,discharge_cfs,mean,580.0
11159000,Pajaro River at Chittenden,2023-02-28,discharge_cfs,mean,1360.0
11159000,Pajaro River at Chittenden,2023-03-01,discharge_cfs,mean,2960.0
11159000,Pajaro River at Chittenden,2023-03-02,discharge_cfs,mean,2430.0
11159000,Pajaro River at Chittenden,2023-03-03,discharge_cfs,mean,1640.0
11159000,Pajaro River at Chittenden,2023-03-04,discharge_cfs,mean,1250.0
11159000,Pajaro River at Chittenden,2023-03-05,discharge_cfs,mean,1190.0
11159000,Pajaro River at Chittenden,2023-03-06,discharge_cfs,mean,1270.0
11159000,Pajaro River at Chittenden,2023-03-07,discharge_cfs,mean,996.0
11159000,Pajaro River at Chittenden,2023-03-08,discharge_cfs,mean,813.0
11159000,Pajaro River at Chittenden,2023-03-09,discharge_cfs,mean,799.0
11159000,Pajaro River at Chittenden,2023-03-10,discharge_cfs,mean,7940.0
11159000,Pajaro River at Chittenden,2023-03-11,discharge_cfs,mean,12700.0
11159000,Pajaro River at Chittenden,2023-03-12,discharge_cfs,mean,9410.0
11159000,Pajaro River at Chittenden,2023-03-13,discharge_cfs,mean,5700.0
11159000,Pajaro River at Chittenden,2023-03-14,discharge_cfs,mean,3580.0
11159000,Pajaro River at Chittenden,2023-03-15,discharge_cfs,mean,3750.0
11159000,Pajaro River at Chittenden,2023-03-16,discharge_cfs,mean,3070.0
11159000,Pajaro River at Chittenden,2023-03-17,discharge_cfs,mean,2240.0
11159000,Pajaro River at Chittenden,2023-03-18,discharge_cfs,mean,1760.0
11159000,Pajaro River at Chittenden,2023-03-19,discharge_cfs,mean,1490.0
11159000,Pajaro River at Chittenden,2023-03-20,discharge_cfs,mean,1370.0
11159000,Pajaro River at Chittenden,2023-03-21,discharge_cfs,mean,1340.0
11159000,Pajaro River at Chittenden,2023-03-22,discharge_cfs,mean,2980.0
11159000,Pajaro River at Chittenden,2023-03-23,discharge_cfs,mean,3810.0
11159000,Pajaro River at Chittenden,2023-03-24,discharge_cfs,mean,2780.0
11159000,Pajaro River at Chittenden,2023-03-25,discharge_cfs,mean,2040.0
11159000,Pajaro River at Chittenden,2023-03-26,discharge_cfs,mean,1630.0
11159000,Pajaro River at Chittenden,2023-03-27,discharge_cfs,mean,1370.0
11159000,Pajaro River at Chittenden,2023-03-28,discharge_cfs,mean,1280.0
11159000,Pajaro River at Chittenden,2023-03-29,discharge_cfs,mean,1750.0
11159000,Pajaro River at Chittenden,2023-03-30,discharge_cfs,mean,1800.0
11159000,Pajaro River at Chittenden,2023-03-31,discharge_cfs,mean,1520.0
11159500,Pajaro River at Watsonville,2023-01-01,discharge_cfs,mean,5270.0
11159500,Pajaro River at Watsonville,2023-01-02,discharge_cfs,mean,4420.0
11159500,Pajaro River at Watsonville,2023-01-03,discharge_cfs,mean,2470.0
11159500,Pajaro River at Watsonville,2023-01-04,discharge_cfs,mean,1700.0
11159500,Pajaro River at Watsonville,2023-01-05,discharge_cfs,mean,1760.0
11159500,Pajaro River at Watsonville,2023-01-06,discharge_cfs,mean,2920.0
11159500,Pajaro River at Watsonville,2023-01-07,discharge_cfs,mean,2390.0
11159500,Pajaro River at Watsonville,2023-01-08,discharge_cfs,mean,2070.0
11159500,Pajaro River at Watsonville,2023-01-09,discharge_cfs,mean,5060.0
11159500,Pajaro River at Watsonville,2023-01-10,discharge_cfs,mean,9210.0
11159500,Pajaro River at Watsonville,2023-01-11,discharge_cfs,mean,9150.0
11159500,Pajaro River at Watsonville,2023-01-12,discharge_cfs,mean,6310.0
11159500,Pajaro River at Watsonville,2023-01-13,discharge_cfs,mean,4100.0
11159500,Pajaro River at Watsonville,2023-01-14,discharge_cfs,mean,3860.0
11159500,Pajaro River at Watsonville,2023-01-15,discharge_cfs,mean,5940.0
11159500,Pajaro River at Watsonville,2023-01-16,discharge_cfs,mean,7400.0
11159500,Pajaro River at Watsonville,2023-01-17,discharge_cfs,mean,8230.0
11159500,Pajaro River at Watsonville,2023-01-18,discharge_cfs,mean,7060.0
11159500,Pajaro River at Watsonville,2023-01-19,discharge_cfs,mean,4690.0
11159500,Pajaro River at Watsonville,2023-01-20,discharge_cfs,mean,2930.0
