field_id,vh31,vv31
4405143,-23.45347698579876,-14.399997976815555
4400934,-21.607972423429036,-14.325432715853905
4400967,-19.95138711358664,-10.456728983620579
4400977,-22.662219917945738,-11.370336864963948
4404463,-18.010202423475846,-9.505216592878751
4404313,-20.31877909071292,-8.159295574560934
4401013,-21.117377636203898,-13.30274039638659
4401027,-17.133438740936043,-9.153105980399353
4401034,-21.43417798128551,-12.42221004170064
4401046,-16.501824532866728,-10.836273940907276
4401049,-17.07408753100837,-8.257026295162246
4401053,-22.86608988824494,-14.461089742757116
4401074,-20.924050401498413,-13.194993273038337
4401107,-23.25654263595272,-14.469693745886998
4401123,-22.757592947712787,-12.487829017464485
4401154,-22.971839673528308,-15.438084094391776
4401201,-20.391353588800786,-13.516292775356233
4401203,-15.498934647194188,-10.0515433619574
4401228,-21.703058406018002,-12.575380689071991
4405152,-19.216502084460686,-11.703746351686739
4401269,-21.071460920516124,-13.034721623055038
4405153,-18.55241215824279,-11.842398329692246
4401286,-19.799168207011935,-12.919576264226162
4401304,-21.086373771438538,-12.519798036201491
4401306,-17.407032020998084,-9.682236590111241
4401313,-23.450007223995147,-15.810845133954675
4401325,-17.20456481412173,-8.182926196093565
4401334,-21.466843655671386,-14.380575719502101
4401363,-17.556558732898505,-9.105592801497805
4401369,-15.739493879035894,-7.3715732411823
4401370,-18.678550672682267,-9.400380716440253
4401378,-21.831983274330057,-6.57504057479079
4401385,-24.497715180218623,-13.84741845734397
4401387,-18.667716962575437,-11.354612688126243
4401388,-23.46231318828726,-13.985220797018773
4405154,-20.667982598602087,-10.319243637310532
4401405,-19.54739858955483,-10.514399394662252
4405155,-21.684452663116232,-12.434156864764367
4405156,-16.2531668771727,-11.428922924453692
4404637,-22.678401465639148,-14.299459063709564
4404639,-21.722343266323993,-12.803503268195227
4401460,-25.21818868509,-15.337046977110573
4401473,-20.113979719902602,-7.406173841434387
4401475,-16.621229216423195,-10.8150743637941
4401478,-20.602608361248645,-10.497051272807594
4401490,-23.577005875697473,-14.509414946880247
4401494,-21.616075329000147,-14.469276069727297
4401501,-21.777239132723235,-12.49122026510408
4401540,-20.494520379035496,-11.443436319355403
4401548,-20.25980049965272,-11.154675613191506
4404642,-20.15197048273992,-11.05272664893674
4401564,-23.819749404746187,-13.427886136255628
4405165,-20.310657436547995,-9.855833484794182
4401582,-25.22254285446345,-10.823838944248484
4401592,-25.36147703839338,-14.395321599861926
4404646,-21.06965915641141,-8.152554722031121
4401617,-20.08114196147956,-8.680931036939503
4401618,-20.59815438481786,-10.641157557050025
4401639,-19.89022097477058,-10.577923437857907
4401642,-23.068160295592833,-15.064778790350593
4401652,-21.56103527167064,-11.81510675072749
4401656,-19.6140747082703,-12.269422382705224
4401659,-20.012032287075037,-7.952340643892381
4401672,-20.9673098788311,-12.477129926212433
4401674,-18.392270959914477,-10.554562604805591
4401684,-20.148636770159285,-10.044789041399312
4401692,-22.760780302681848,-14.11981929368393
4401698,-20.161908528009292,-11.395728384155435
4401713,-21.799961503296068,-10.886251041021985
4401727,-19.835306693142446,-13.233150198696384
4401734,-18.6399288123276,-8.967842535647906
4401740,-20.563266540286854,-10.661011136533105
4404250,-20.009369506527484,-11.798115055731532
4401784,-20.13713468432053,-6.249525092168272
4401802,-23.144842102461148,-13.558842101639543
4404251,-21.623803279744596,-5.645739601820139
4404650,-22.63091560906214,-14.510482498106292
4401844,-21.984373319322728,-13.384266340545947
4401855,-18.19384592348565,-11.070134740341219
4401861,-19.7745214059142,-11.40445411960761
4401875,-22.11380141009122,-15.930732763465313
4401878,-23.668649723437955,-14.863224684918066
4404253,-20.40470591717197,-8.89490765105363
4401898,-19.94097003521594,-12.064077690172226
4401905,-19.54823860262388,-10.92588105490257
4401909,-17.521068208376494,-10.201247843997303
4401950,-21.154602890953704,-11.288152517637903
4401952,-24.429294725079224,-14.858953873317173
4401954,-19.639096525689126,-11.525234261586204
4405170,-19.79668062966119,-9.89456891502072
4404214,-22.57843158770654,-6.61544743867759
4401966,-21.61235591666645,-12.974515698602199
4401981,-22.234724402124343,-12.842879156006727
4401983,-20.230184041653246,-9.739075267965797
4401991,-16.812838786702926,-9.737541839299611
4402014,-19.496811156114422,-4.9162640439511245
4404652,-16.955216465078596,-9.508157297955341
4402056,-25.33472432647029,-14.712366659415526
4402077,-21.023300535031503,-5.250685033907479
4402103,-23.665034898746907,-9.999469180149422
4402138,-20.764584388759733,-5.226673460188805
4405174,-20.619350999085054,-12.442159085833259
4402146,-20.123027434280786,-11.749441599875384
4402151,-17.35068260100835,-9.738861759022507
4402160,-22.258854203883956,-12.463701276854994
4402161,-21.38627267778678,-14.166635577512535
4402163,-20.1973600130038,-8.72077886278303
4402191,-15.872102142197418,-2.793940071770053
4402216,-20.39415523840437,-12.497401795249798
4402234,-20.04320121824348,-6.902579405766732
4402243,-23.637494983196767,-13.258688733278758
4402256,-17.541116549803018,-9.202265551054984
4402282,-20.20480967057284,-9.235321380679624
4402285,-21.018458216078685,-10.606942702838927
4402286,-23.851522749192537,-14.331031518238218
4402289,-20.983164751999624,-8.48565882368449
4402296,-18.853265762094235,-9.021083483791841
4405440,-19.892497214426747,-7.515706257027366
4402320,-19.138144243081836,-7.725398457153058
4402323,-21.656292575086074,-14.896174473306385
