base_vh,base_vv,clear15,opt15,post_vh,post_vv,pre_vh,pre_vv,field_id,crop_class,d_vv,d_vh
0.7493433186162185,0.4006594757726483,0.0,0.0,-21.37458563970102,-12.992297520325527,-22.881917440652565,-14.350016952116011,4403933,T20,1.3577194317904837,1.507331800951544
0.8272902338376892,0.8372489683631361,0.0,0.0,-24.706457450266484,-15.763740298212538,-24.79443285994497,-16.965152407058202,4403904,T20,1.2014121088456644,0.08797540967848505
0.8773811951866205,0.2854170915765857,0.19783805833163365,0.0,-22.023744885383106,-13.686908119746413,-23.50031128966832,-14.519922930929505,4403896,T20,0.8330148111830926,1.4765664042852151
1.0,0.9771578356113088,0.08827934843662234,0.0,-24.10376206064518,-16.03475667821539,-25.477644330783853,-16.81609795038912,4403892,T20,0.7813412721737301,1.3738822701386724
1.0,0.8843033822421205,0.0,0.0,-23.958428560503446,-16.402419447433243,-25.19378434673506,-16.60882380680163,4403887,T20,0.2064043593683884,1.2353557862316151
0.9580375180375179,0.8190476190476189,0.6653391053391052,0.0,-23.384194732789567,-15.824890423135116,-24.126895894025004,-15.69150526651398,4403881,T20,-0.13338515662113615,0.7427011612354377
0.817496202929418,0.021845521784419487,0.0,0.0,-22.3394660612455,-10.265161436476937,-23.380644840250593,-10.571065706212833,4404594,T20,0.3059042697358958,1.0411787790050937
0.00023276112889147521,0.0,0.0,0.0,-18.384530244938073,-11.93287448369972,-19.306150329729697,-12.041975909490775,4404595,T20,0.10910142579105475,0.9216200847916234
1.0,0.8680941484145144,0.0,0.0,-24.13992418426231,-15.188935836674215,-25.31449070815674,-16.197027375779818,4403864,T20,1.0080915391056031,1.1745665238944305
0.0,0.0,0.0,0.0,-16.46295944270832,-10.661867523267313,-17.115668250177677,-11.192600770272753,4403853,T20,0.5307332470054398,0.6527088074693559
0.21752951861943687,0.0,0.0,0.0,-19.477933667279633,-7.649892705058974,-20.50819934426809,-8.325775992078377,4403852,T20,0.6758832870194027,1.0302656769884564
0.9712328369473717,0.8921303956573486,0.06226595837324742,0.0,-23.674133759812012,-14.596343610013285,-24.536041443457584,-16.160977461256337,4403848,T20,1.5646338512430518,0.8619076836455726
0.7176843240328885,0.3007143819921822,1.0,0.0,-22.835116701730264,-12.637362224742263,-22.571712723617573,-14.513327835650585,4403840,T20,1.875965610908322,-0.26340397811269156
1.0,0.8592253478706101,1.0,0.0,-23.00955799900155,-14.779886256157422,-24.247188672429722,-16.187783899971098,4403838,T20,1.4078976438136763,1.2376306734281712
0.7213763282579696,0.4881089286535719,0.0,0.0,-21.276715824923755,-14.54116826770077,-22.83573606298949,-14.4623627184902,4403837,T20,-0.07880554921057126,1.5590202380657345
1.0,0.8518816393552495,0.04071579370664522,0.0,-25.29391950124728,-15.347324249503895,-26.666372189147307,-15.997764542305932,4403812,T20,0.6504402928020365,1.3724526879000258
0.9487136612282925,0.34692926928313805,0.48069894656379164,0.0,-23.38035667390437,-10.775165239668498,-24.984093007706395,-12.175409105890813,4404222,T20,1.400243866222315,1.6037363338020256
1.0,0.2513205236163209,0.0,0.0,-21.958173737339646,-12.967063441519608,-24.58281699815602,-14.06027289607325,4403806,T20,1.0932094545536426,2.6246432608163737
0.015853368245655794,0.0,0.0,0.0,-18.898869453378246,-8.967429336137716,-19.32499760716124,-9.692518069440332,4403769,T20,0.7250887333026164,0.42612815378299373
0.6914238818219124,0.07427164546573656,1.0,0.0,-20.598107387756027,-12.556996575121026,-23.1898826484895,-12.948001767720378,4403708,T20,0.3910051925993514,2.591775260733474
0.442959356056842,0.0,0.0,0.0,-21.993746741499884,-10.749038788130477,-22.157621024012425,-11.527668022012985,4403688,T20,0.7786292338825085,0.16387428251254121
0.926172776211228,0.3224814150217894,0.0,0.0,-21.050656378827835,-13.340981496811299,-23.351674911323737,-14.256968170959604,4403677,T20,0.9159866741483054,2.3010185324959025
0.8928719436386241,0.0,0.0,0.0,-22.128977890392246,-12.336452308243379,-23.39927705764577,-11.763504609389875,4403659,T20,-0.572947698853504,1.2702991672535227
0.9446622351002782,0.8700642008976761,0.0,0.0,-25.306341408580945,-15.585867379694998,-25.197631960269526,-16.764541585661373,4403658,T20,1.1786742059663755,-0.10870944831141927
0.9149908592321756,0.8779054583442153,0.0,0.0,-22.134129726519223,-14.199577236778342,-24.49947018320358,-16.996516068429848,4403643,T20,2.796938831651506,2.3653404566843577
0.1951494719460594,0.0,0.7930991778182943,0.0,-20.806149839445183,-10.082331757535616,-21.044583306582535,-10.191892223064777,4403635,T20,0.10956046552916021,0.23843346713735158
0.9890260631001372,0.42729766803840885,0.0,0.0,-22.295461396907267,-13.419651514980776,-24.36693015416639,-14.456621307608296,4403617,T20,1.03696979262752,2.0714687572591224
0.9876619370758792,0.9497920439394242,0.348828879027283,0.0,-24.048280908072577,-14.953830444722223,-25.12970667285596,-16.5541489505849,4403599,T20,1.6003185058626759,1.0814257647833827
0.7746800379594245,0.026340762779245425,0.0,0.0,-22.51802489235705,-12.565153631448291,-23.012217956214908,-13.20716111670459,4405110,T20,0.6420074852562987,0.4941930638578569
0.8921475875118258,0.11308735414695678,0.0,0.0,-23.559134635207847,-13.658924618115941,-23.393162626920663,-13.79269093901122,4403572,T20,0.13376632089527796,-0.16597200828718428
0.6970762185299397,0.15220693146775902,0.9971636673263681,0.0,-21.50525352254765,-12.909540819894042,-22.66967974193734,-13.58793003758787,4405111,T20,0.6783892176938284,1.1644262193896893
0.006673618352450467,0.0,0.0,0.0,-17.603911682993903,-6.372394191164639,-18.293530645200455,-7.217235079315395,4403523,T20,0.8448408881507561,0.689618962206552
0.09683478437444479,0.0,1.0,0.0,-19.255435469179783,-9.681707048426112,-19.696233024652923,-10.6191794867873,4403518,T20,0.937472438361187,0.44079755547313937
0.8702369285755465,0.03925750850291117,0.0,0.0,-22.060541089440118,-11.418012386159779,-23.910575684796132,-13.274358825916543,4403506,T20,1.8563464397567646,1.8500345953560142
0.19337530090278168,0.0,0.029188669342661202,0.0,-19.464950228284486,-7.669069115705921,-20.511241302780423,-8.431394618403377,4403500,T20,0.7623255026974567,1.0462910744959366
0.5794610740655044,0.11487410336776123,0.0,0.0,-20.929049098656357,-12.716928944277859,-22.298506245501702,-13.351339859683947,4403485,T20,0.6344109154060877,1.3694571468453454
0.9452207937395195,0.8464118329965173,1.0,0.0,-23.736663617611292,-14.79648293903027,-24.45698345193374,-16.15413407615448,4403476,T20,1.3576511371242113,0.7203198343224493
0.0620313565098841,0.0,0.0,0.0,-19.195033835069104,-12.165967272841659,-20.215299101092906,-12.840935719300708,4403465,T20,0.6749684464590491,1.0202652660238023
0.627834982165691,0.4023487448684299,0.0,0.0,-22.27130995987796,-13.807655145386983,-22.564481613068477,-14.797062400002224,4403459,T20,0.9894072546152408,0.29317165319051597
0.019630664183736806,0.0,0.013112973308504033,0.0,-17.92374283742773,-10.782967967066467,-18.81323794183133,-11.228927802880964,4403454,T20,0.44595983581449694,0.889495104403597
0.9722735674676525,0.1835859519408503,0.16754158964879856,0.0,-21.78222893337943,-11.466946039690798,-23.35445758201541,-13.685544653581582,4403435,T20,2.2185986138907836,1.5722286486359813
0.7414513086320265,0.569973809044122,0.04277550870895073,0.0,-22.37087042157523,-13.893977283441133,-23.73154372525589,-15.110002856135608,4404226,T20,1.216025572694475,1.3606733036806595
0.7918969957081542,0.801545064377682,1.0,0.0,-23.075735664546688,-14.485122079623073,-22.909121633044684,-15.656801516169478,4403375,T20,1.1716794365464054,-0.1666140315020037
0.9989153172696986,0.8053769272487797,0.0,0.0,-21.899297668411517,-14.69870315409576,-23.474982613004048,-15.772612729696208,4403364,T20,1.0739095756004478,1.5756849445925312
0.06781376518218625,0.0,0.5695344129554659,0.0,-17.9916515223661,-11.030667399112247,-19.095450221874678,-11.176691773747311,4403363,T20,0.1460243746350649,1.1037986995085767
0.3068839802702123,0.31260275931088705,0.0,0.0,-20.74722753100531,-14.093809465794804,-21.01968842794249,-14.411240628002286,4403362,T20,0.31743116220748213,0.27246089693717934
0.36530820279182025,0.0,0.0,0.0,-20.945982204952937,-11.246885810864768,-21.398361621486302,-11.155918910446593,4403359,T20,-0.09096690041817546,0.4523794165333648
0.9943774279288489,0.9875281128603556,1.0,0.0,-25.050867539385543,-15.26941345386951,-24.386477984109295,-16.825917247954592,4403340,T20,1.5565037940850832,-0.664389555276248
0.495001249687578,0.48494126468382887,0.0,0.0,-21.430753500586306,-15.133940717640455,-22.007037850775323,-14.769077233157097,4403328,T20,-0.36486348448335804,0.5762843501890167
0.013030368296360112,0.30799052336851174,0.0,0.0,-21.526949546952412,-14.715721189422558,-20.100691729630945,-13.523869401386948,4403308,T20,-1.1918517880356099,-1.426257817321467
