id,acquired_utc,date,item_type,satellite_id,instrument,quality_category,cloud_percent_scene,clear_percent_scene,visible_percent_scene,shadow_percent,heavy_haze_percent,usable_data,units_intersected,pct_units_intersected,pct_unit_area_covered,intersects_lower_pajaro,n_permissions
20230317_175748_30_24c0,2023-03-17T17:57:48.305542Z,2023-03-17,PSScene,24c0,PSB.SD,standard,39,60,61,0,0,,0,0.0,0.0,False,0
20230317_175750_71_24c0,2023-03-17T17:57:50.711792Z,2023-03-17,PSScene,24c0,PSB.SD,standard,69,20,30,0,0,,59,4.46969696969697,2.1187093264751615,False,0
20230317_175753_11_24c0,2023-03-17T17:57:53.118042Z,2023-03-17,PSScene,24c0,PSB.SD,standard,40,43,59,0,2,,346,26.212121212121215,36.38922738112113,False,0
20230317_175755_52_24c0,2023-03-17T17:57:55.524292Z,2023-03-17,PSScene,24c0,PSB.SD,standard,49,24,50,0,1,,155,11.742424242424242,17.62493786673073,False,0
20230317_182813_16_248b,2023-03-17T18:28:13.166698Z,2023-03-17,PSScene,248b,PSB.SD,standard,28,71,71,0,0,,2,0.15151515151515152,0.038265250270749084,False,0
20230317_182815_34_248b,2023-03-17T18:28:15.344632Z,2023-03-17,PSScene,248b,PSB.SD,standard,49,50,51,0,0,,293,22.1969696969697,13.76585601583814,True,0
20230317_182817_52_248b,2023-03-17T18:28:17.522566Z,2023-03-17,PSScene,248b,PSB.SD,standard,17,69,79,1,4,,542,41.060606060606055,53.268940355311045,True,0
20230317_182819_70_248b,2023-03-17T18:28:19.7005Z,2023-03-17,PSScene,248b,PSB.SD,standard,52,43,46,1,2,,240,18.181818181818183,30.58755640668701,False,0
20230318_175043_94_2459,2023-03-18T17:50:43.944999Z,2023-03-18,PSScene,2459,PSB.SD,standard,0,29,98,0,2,,0,0.0,0.0,False,0
20230318_175046_18_2459,2023-03-18T17:50:46.186406Z,2023-03-18,PSScene,2459,PSB.SD,standard,0,30,95,0,5,,594,45.0,26.184817194180535,True,0
20230318_175048_42_2459,2023-03-18T17:50:48.427813Z,2023-03-18,PSScene,2459,PSB.SD,standard,0,40,98,0,2,,889,67.34848484848484,58.47295640211537,True,0
