15_Mar_only,15_Mar_only_n,20_31_Mar,20_31_Mar_n,20_Mar_only,20_Mar_only_n,25_Mar_only,25_Mar_only_n,pre,pre_n,unit_id
,0.0,0.32407067632522235,4.0,0.3316324624431623,2.0,0.31924051254962194,2.0,0.3272888454532386,6.0,4400392
,0.0,0.2992435049156341,4.0,0.31274969647414824,2.0,0.2926028182370571,2.0,0.2738203331918989,6.0,4400396
,0.0,0.23098595066175628,1.0586250068042027,0.21958771377400654,0.058625006804202295,0.23282514848912095,1.0,0.1762880142626073,3.0,4400414
,0.0,0.6102832718276745,4.0,0.6232855663068706,2.0,0.6049139249044614,2.0,0.6071713088769516,6.0,4400426
0.31438432823652973,0.7684886714130007,0.33639264341770087,4.0,0.34408387931742423,2.0,0.3301105053874182,2.0,0.34648104227196586,6.0,4400462
,0.0,0.41854476492235804,2.0,0.4044486188597965,1.0,0.43264091248142267,1.0,0.42521966763871344,2.874013540039258,4400469
,0.0,0.35741842425479525,6.0,0.36382598178902403,2.0,0.35474348709777076,2.0,0.24956073708014154,8.0,4400475
,0.0,0.1856706988421885,4.0,0.2016914673406065,2.0,0.17705900701559163,2.0,0.14086957505793848,8.0,4400484
,0.0,0.3787013781120485,4.0,0.37880219366068174,2.0,0.37800023150843537,2.0,0.4022853602223908,6.0,4400496
0.4743755551327904,0.41275787634048117,0.6121942473455637,2.0,0.625524794190019,1.0,0.5988636983664953,1.0,0.6588936481138442,2.8613469915688663,4400497
0.3368799746336616,1.2678925035360677,0.432128604409381,4.0,0.43384548340272006,2.0,0.43066600366056884,2.0,0.4687060987713312,6.0,4400548
,0.0,0.1094206415754967,4.0,0.09710148614151598,2.0,0.11170773698394484,2.0,0.0929781038559464,6.0,4400549
,0.0,0.37056950484008006,4.0,0.37516327740534944,2.0,0.3674185030176789,2.0,0.3920975763207852,6.0,4400557
,0.0,0.6301183661652021,4.0,0.6340502870829516,2.0,0.6280990626838803,2.0,0.6587725802270291,6.63416811046359,4400564
,0.0,0.6525728689795356,5.9371087080250415,0.6675504043972528,2.0,0.6437528060596867,2.0,0.6435343605266353,8.0,4400579
0.16805262644643731,0.7841197284232784,0.18853071992698558,2.2429584996058347,0.17576343142621217,1.0,0.2052209362132865,1.0,0.1574249668903785,3.0,4400581
,0.0,0.4054394155807403,4.483750973936212,0.4090489383268108,2.0,0.40025310390128066,2.0,0.3329305905595659,8.0,4404616
0.4096291074021945,1.5208740051058718,0.579059292356573,4.0,0.5989064551506125,2.0,0.5656606438040357,2.0,0.6235351810129148,6.0,4400603
,0.0,0.11119845688891328,4.0,0.1035025739929131,2.0,0.11115091408904393,2.0,0.07309886098540756,6.0,4400607
,0.0,0.6598518683313142,5.239363562186736,0.6739983883913144,2.0,0.6567398213064604,2.0,0.6632831938037618,8.0,4400617
,0.0,0.19823070949829544,4.0001188701846155,0.1783834690459209,2.0,0.20660846921963175,2.0,0.16855934108871712,6.0,4400642
,0.0,0.2331607245098927,2.0,,0.0,0.2331607245098927,2.0,0.19176100271120597,6.0,4400644
,0.0,0.37415991737164017,4.0,0.3691871186089134,2.0,0.3772616030919513,2.0,0.3507928335964556,8.0,4405302
0.19485622770074612,0.16520797709267146,0.2966319525762569,4.326203461057204,0.3048243118572817,2.0,0.294521684287642,2.0,0.284803639025061,6.0,4405406
,0.0,0.5900084376566925,2.0,,0.0,0.5900084376566925,2.0,0.5976898974632348,6.0,4400668
,0.0,0.3101171574316169,4.0,0.30237471284179823,2.0,0.31503748865558856,2.0,0.26523003882429425,6.0,4400685
,0.0,0.18209899407396063,1.0,,0.0,0.18209899407396063,1.0,0.16933052773587862,3.0,4400692
,0.0,0.4625422838295309,4.0,0.477295019446436,2.0,0.45357510013755037,2.0,0.4888304148329931,8.0,4400698
0.36475566466729226,0.9034094760387719,0.3886037897329966,4.0,0.396979883853552,2.0,0.37961998200191127,2.0,0.40971051309946344,7.305564969836643,4400699
,0.0,0.4322599435689256,4.0,0.44171832962959595,2.0,0.4265201235986112,2.0,0.4438020448333753,6.0,4400713
0.35036141104744006,1.5291722249526079,0.39131745881246865,4.0,0.4011959050454626,2.0,0.38197544753501245,2.0,0.4024679676919208,6.664396545671555,4400719
