base_vh,base_vv,unit_id
0.09683478437444472,0.0,4403518
0.8702369285755462,0.039257508502911174,4403506
0.1933753009027817,0.0,4403500
0.5794610740655041,0.11487410336776119,4403485
0.9452207937395191,0.8464118329965169,4403476
0.0620313565098841,0.0,4403465
0.6278349821656909,0.40234874486843,4403459
0.01963066418373681,0.0,4403454
0.9722735674676525,0.18358595194085028,4403435
0.7414513086320261,0.5699738090441216,4404226
0.7918969957081545,0.8015450643776825,4403375
0.9989153172696987,0.8053769272487799,4403364
0.06781376518218625,0.0,4403363
0.3068839802702122,0.31260275931088705,4403362
0.36530820279181997,0.0,4403359
0.9943774279288489,0.9875281128603556,4403340
0.4950012496875782,0.48494126468382914,4403328
0.013030368296360112,0.30799052336851174,4403308
0.006847230675593425,0.0,4404603
0.3821165438713997,0.18932797499441834,4403299
0.0,0.0,4400069
0.9908706859515968,0.6954389230989545,4400093
0.545834552522677,0.29725577895748867,4405124
0.011169158710142313,0.005742208611061068,4400140
0.8744921488964533,0.5578858753339921,4400153
0.8936877076411962,0.7805094130675528,4400234
0.5052069425901201,0.019859813084112152,4400235
0.19484302122297645,0.0,4404235
0.7542406858353423,0.008602640188881905,4400280
0.8297343568785553,0.6227978130004973,4400290
0.6286944922132399,0.0,4400301
0.2916911882724307,0.05457171900914879,4400302
1.0,0.41293532338308464,4400334
0.9046936581870297,0.33801504836976004,4400344
0.1019575099730958,0.0,4400345
0.5173034663642166,7.088679379031688e-05,4405129
0.9805575076130241,0.6259857890216288,4400365
0.34561699592971323,0.045885039213739716,4404105
0.3467126323565624,0.0,4400385
0.8686383928571422,0.4512276785714283,4400387
0.9158964680118428,0.1905026041479069,4400392
0.6573747030167154,0.4153958954618838,4400396
0.03123128844374286,0.0,4400414
0.9018481317798313,0.5382884692647648,4400426
0.9344402959115047,0.7217596994503837,4400462
0.0,0.0,4400469
0.21405312767780635,0.050679397723099526,4400475
0.44010205734650887,0.0,4400484
1.0,0.9031712242781507,4400496
0.5968196152565028,0.011948072172931258,4400497
1.0,0.9835926449787835,4400548
0.7006706286462024,0.6705741235483342,4400549
1.0,0.8980749141919117,4400557
0.7902031816034017,0.7820129154197509,4400564
0.7320242838171125,0.0,4400579
0.20148254979008423,3.0555436728857174e-05,4400581
0.25659134893306856,0.05768215748862693,4404616
0.9808529809280673,0.1898933773839916,4400603
0.4173859970354869,0.09721858924056151,4400607
0.5893460776314257,0.0,4400617
0.3776322887996856,0.0,4400642
0.0035339361812701396,0.0,4400644
