unit_id,county_geoid,county,col,row,x_3310,y_3310,lon,lat,frac_2022,frac_2023,dwr_t20_main_frac,dwr_t20_any_frac,dwr_dominant_main_crop,both_years
c-651_r489,06087,Santa Cruz,-651,489,-162625.0,-122375.0,-121.827646,36.901396,0.2759253854475598,0.6112516656563085,0.15738904533305476,0.15738904533305476,T4,False
c-649_r489,06087,Santa Cruz,-649,489,-162125.0,-122375.0,-121.822028,36.901482,0.014399999997967847,0.7516690066337348,0.9204844927193205,0.9204844927193205,T20,False
c-648_r489,06087,Santa Cruz,-648,489,-161875.0,-122375.0,-121.819219,36.901525,0.08168171768852554,0.913395407089076,0.9438755100753964,0.9438755100753964,T20,False
c-647_r489,06087,Santa Cruz,-647,489,-161625.0,-122375.0,-121.81641,36.901568,0.3313731886695364,0.672314456675074,0.9273766312454638,0.9408991765650946,T20,False
c-655_r490,06087,Santa Cruz,-655,490,-163625.0,-122625.0,-121.838827,36.898973,0.6047079191042073,0.6502057003065957,0.0,0.0,T4,True
c-654_r490,06087,Santa Cruz,-654,490,-163375.0,-122625.0,-121.836018,36.899016,0.7530632134038134,0.8579799909109354,0.010929661092431792,0.010929661092431792,T4,True
c-653_r490,06087,Santa Cruz,-653,490,-163125.0,-122625.0,-121.833209,36.89906,0.552412810574802,0.6620827981256262,0.2951021184312073,0.2951021184312073,T4,False
c-648_r490,06087,Santa Cruz,-648,490,-161875.0,-122625.0,-121.819165,36.899277,0.7566692432717597,0.8689125584861107,0.8570368398761082,0.9252408658095548,T20,True
c-647_r490,06087,Santa Cruz,-647,490,-161625.0,-122625.0,-121.816356,36.89932,0.5161384009818436,0.639887385680099,0.7564214203366484,0.9386132265768006,T20,False
c-645_r490,06087,Santa Cruz,-645,490,-161125.0,-122625.0,-121.810739,36.899406,0.31768659575197566,0.6287374073197254,0.8210845335280051,0.8210845335280051,T20,False
c-633_r495,06087,Santa Cruz,-633,495,-158125.0,-123875.0,-121.776769,36.888672,0.028800000398861814,0.88196621851384,0.9496806390867595,0.9891625183826634,T20,False
c-646_r496,06087,Santa Cruz,-646,496,-161375.0,-124125.0,-121.813225,36.88587,0.27324343599789697,0.7226352610865864,0.8492291445274045,0.8492291445274045,T20,False
c-650_r497,06087,Santa Cruz,-650,497,-162375.0,-124375.0,-121.824404,36.883449,0.14806770951724088,0.6087537325211534,0.8206372098818465,0.8206372098818465,T20,False
c-650_r498,06087,Santa Cruz,-650,498,-162375.0,-124625.0,-121.82435,36.8812,0.6557872909350675,0.7942708198449101,0.7485860526963961,0.7485860526963961,T20,True
c-649_r498,06087,Santa Cruz,-649,498,-162125.0,-124625.0,-121.821542,36.881243,0.5622637169903891,0.6489436170949396,0.8750274324553098,0.8750274324553098,T20,False
c-649_r499,06087,Santa Cruz,-649,499,-162125.0,-124875.0,-121.821488,36.878994,0.5286473303236348,0.6111591397413307,0.8733416443702384,0.8733416443702384,T20,False
c-648_r499,06087,Santa Cruz,-648,499,-161875.0,-124875.0,-121.81868,36.879037,0.0480581724039745,0.6665171964938081,0.8887794536815584,0.8887794536815584,T20,False
c-634_r503,06053,Monterey,-634,503,-158375.0,-125875.0,-121.779156,36.87064,0.09208154217329527,0.678221793881615,0.9796185708067617,0.9796185708067617,T20,False
c-630_r507,06053,Monterey,-630,507,-157375.0,-126875.0,-121.767715,36.861813,0.45788095606487084,0.6540447099663466,0.8788654679374732,0.8788654679374732,T20,False
c-630_r510,06053,Monterey,-630,510,-157375.0,-127625.0,-121.767558,36.855066,0.46869903641928085,0.7262617416571872,0.08023409269592333,0.974417442976924,G6,False
c-638_r511,06053,Monterey,-638,511,-159375.0,-127875.0,-121.789963,36.85248,0.5341179479213589,0.6381189973601604,0.0,0.016805452628140937,T30,False
c-633_r511,06053,Monterey,-633,511,-158125.0,-127875.0,-121.775927,36.852691,0.014399999999463137,0.7901897450487997,0.0,0.0,T4,False
c-632_r511,06053,Monterey,-632,511,-157875.0,-127875.0,-121.77312,36.852733,0.0,0.7914629183153483,0.0,0.0,T4,False
c-630_r511,06053,Monterey,-630,511,-157375.0,-127875.0,-121.767506,36.852817,0.370267316805849,0.8064403649375251,0.0,0.9804751087853331,G6,False
c-634_r512,06053,Monterey,-634,512,-158375.0,-128125.0,-121.778682,36.8504,0.5456702122910247,0.798344111168911,0.0,0.0,T4,False
c-633_r512,06053,Monterey,-633,512,-158125.0,-128125.0,-121.775875,36.850442,0.3205550497961633,0.6962170878278423,0.0,0.0,T4,False
