a,b,km,d_event,d_jan,band
143,193,46.67992102021879,55.199999999999996,90.50000000000001,30-50 km
143,252,42.15973364433755,63.89999999999999,98.60000000000001,30-50 km
143,210,48.45404107491206,35.3,149.89999999999998,30-50 km
143,126,10.01369467898813,23.10000000000001,67.8,< 15 km
104,211,40.89886323690796,40.10000000000001,112.60000000000002,30-50 km
104,193,40.85631348865702,91.70000000000002,153.3,30-50 km
104,252,83.64917681689491,100.4,145.20000000000002,> 50 km
104,210,51.76581690265203,71.80000000000001,93.90000000000003,> 50 km
104,126,58.584794780033306,59.60000000000002,176.00000000000003,> 50 km
211,193,55.28665080638513,51.6,40.69999999999999,> 50 km
211,252,64.3863180774426,60.3,32.599999999999994,> 50 km
211,210,61.01032163520076,31.700000000000003,18.69999999999999,> 50 km
211,126,23.608754108601076,19.500000000000014,63.400000000000006,15-30 km
193,252,56.31674029923046,8.699999999999996,8.099999999999994,> 50 km
193,210,11.298121112357965,19.9,59.39999999999998,< 15 km
193,126,56.65017667162448,32.09999999999999,22.700000000000017,> 50 km
252,210,48.99120218212849,28.599999999999994,51.29999999999998,30-50 km
252,126,44.27638660982465,40.79999999999998,30.80000000000001,30-50 km
210,126,57.99676204972019,12.199999999999989,82.1,> 50 km
